tweet_id,text,created_at,retweet_count,like_count,fact_check
1847916415728160954,8 Pink Foods for Breast Cancer Prevention That Actually Work https://t.co/eUQtG0yUmI,2024-10-20T08:23:00+00:00,0,0,False
1847909567952208224,"@Mishti2212 Cabbage is a nutrient-rich vegetable that promotes digestive health, supports heart health, boosts immunity, and may aid in weight management and cancer prevention.",2024-10-20T07:55:48+00:00,0,0,True
1847697082443776157,@RealAlexJones Big Pharma has worked tirelessly to suppress any and all result of ivermectin on cancer cause they can’t make trillions off it anymore.  But the more this comes out that ivermectin IS the cure I’m sure big pharma will find a way to reign in ivermectin production and jack the… https://t.co/LAsTpLIsih,2024-10-19T17:51:27+00:00,6,24,False
1847847059690226139,"@toobaffled Same with biopsies which can be helpful in identifying &amp; determining cancer lethality, but they can also disturb the cancer &amp; cause it to metastasise to your bloodstream &amp; eventually, to secondary organs, when the real problems start!",2024-10-20T03:47:25+00:00,0,0,True
1847697082443776157,@RealAlexJones Big Pharma has worked tirelessly to suppress any and all result of ivermectin on cancer cause they can’t make trillions off it anymore.  But the more this comes out that ivermectin IS the cure I’m sure big pharma will find a way to reign in ivermectin production and jack the… https://t.co/LAsTpLIsih,2024-10-19T17:51:27+00:00,6,24,False
1847697082443776157,@RealAlexJones Big Pharma has worked tirelessly to suppress any and all result of ivermectin on cancer cause they can’t make trillions off it anymore.  But the more this comes out that ivermectin IS the cure I’m sure big pharma will find a way to reign in ivermectin production and jack the… https://t.co/LAsTpLIsih,2024-10-19T17:51:27+00:00,6,24,False
1847282197390406041,"The humanistic health management approach to tackling cancer adds to conventional and established treatment regiment. By integrating lifestyle-centered strategies focusing on psychological health, diet, and exercise, we can enhance cancer prevention and prognosis.… https://t.co/iigJ3ojha2 https://t.co/eo7pGXfn1r",2024-10-18T14:22:51+00:00,2,5,True
1847697082443776157,@RealAlexJones Big Pharma has worked tirelessly to suppress any and all result of ivermectin on cancer cause they can’t make trillions off it anymore.  But the more this comes out that ivermectin IS the cure I’m sure big pharma will find a way to reign in ivermectin production and jack the… https://t.co/LAsTpLIsih,2024-10-19T17:51:27+00:00,6,24,False
1847803984381432111,"@SenatorShaheen #alcoholawareness Avoid alcohol consumption, completely, for health, and cancer prevention!",2024-10-20T00:56:15+00:00,0,0,True
1847802254126178450,"@officialDannyT @AmericanCancer #alcoholawareness For men's health,mental health and cancer prevention-Avoid alcohol consumption, completely!",2024-10-20T00:49:22+00:00,0,0,True
1847801905508225448,"@Ravens @MandT_Bank #alcoholawareness For health and cancer prevention, avoid alcohol, completely!",2024-10-20T00:47:59+00:00,0,0,True
1847800926310191225,"@AmericanCancer @ParisHilton #alcoholawareness Every alcoholic drink increase's your risk for cancer, including breast cancer! #Prevention",2024-10-20T00:44:05+00:00,0,0,True
1847800614878908471,@KampeOU #alcoholawareness Avoid alcohol consumption-Cancer prevention!,2024-10-20T00:42:51+00:00,0,0,True
1847800138640879763,@DanLosquadro #alcoholawareness Cancer prevention!,2024-10-20T00:40:58+00:00,0,0,True
1847799346366206125,"@WashingtonHosp #alcoholawareness Avoid alcohol consumption, for cancer prevention!",2024-10-20T00:37:49+00:00,0,0,True
1847798807813378401,"@FLOTUS45 @WhiteHouse #alcoholawareness #BreastCancer Alcohol causes cancer! #Prevention Avoid alcohol,completely!",2024-10-20T00:35:40+00:00,0,0,True
